Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Female,FEM,Bahrain,BHR,22,32,2694,6227,10054
Afghanistan,AFG,Male,MAL,Bahrain,BHR,39,30,10690,16292,24366
Afghanistan,AFG,Total,TOT,Bahrain,BHR,62,61,13384,22519,34419
Albania,ALB,Female,FEM,Bahrain,BHR,0,0,2,1,0
Albania,ALB,Male,MAL,Bahrain,BHR,2,0,2,1,2
Albania,ALB,Total,TOT,Bahrain,BHR,2,1,4,2,2
Algeria,DZA,Female,FEM,Bahrain,BHR,0,0,0,0,7
Algeria,DZA,Male,MAL,Bahrain,BHR,0,0,0,0,2
Algeria,DZA,Total,TOT,Bahrain,BHR,0,0,1,0,9
American Samoa,ASM,Female,FEM,Bahrain,BHR,0,0,0,0,0
American Samoa,ASM,Male,MAL,Bahrain,BHR,0,0,0,0,2
American Samoa,ASM,Total,TOT,Bahrain,BHR,0,0,0,2,2
Andorra,AND,Female,FEM,Bahrain,BHR,0,0,0,0,0
Andorra,AND,Male,MAL,Bahrain,BHR,0,0,0,0,0
Andorra,AND,Total,TOT,Bahrain,BHR,0,0,0,0,0
Angola,AGO,Female,FEM,Bahrain,BHR,0,0,0,0,0
Angola,AGO,Male,MAL,Bahrain,BHR,0,0,0,0,0
Angola,AGO,Total,TOT,Bahrain,BHR,0,0,0,0,0
Anguilla,AIA,Female,FEM,Bahrain,BHR,0,0,0,0,0
Anguilla,AIA,Male,MAL,Bahrain,BHR,0,0,0,0,0
Anguilla,AIA,Total,TOT,Bahrain,BHR,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Bahrain,BHR,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Bahrain,BHR,0,0,0,0,0
Antigua and Barbuda,ATG,Total,TOT,Bahrain,BHR,0,0,0,0,0
Argentina,ARG,Female,FEM,Bahrain,BHR,0,0,4,15,5
Argentina,ARG,Male,MAL,Bahrain,BHR,0,0,14,12,11
Argentina,ARG,Total,TOT,Bahrain,BHR,0,0,18,27,16
Armenia,ARM,Female,FEM,Bahrain,BHR,0,0,3,6,13
Armenia,ARM,Male,MAL,Bahrain,BHR,0,0,10,15,20
Armenia,ARM,Total,TOT,Bahrain,BHR,0,0,13,21,33
Aruba,ABW,Female,FEM,Bahrain,BHR,0,0,0,0,0
Aruba,ABW,Male,MAL,Bahrain,BHR,0,0,0,0,0
Aruba,ABW,Total,TOT,Bahrain,BHR,0,0,0,0,0
Australia,AUS,Female,FEM,Bahrain,BHR,0,0,109,106,150
Australia,AUS,Male,MAL,Bahrain,BHR,0,0,115,152,260
Australia,AUS,Total,TOT,Bahrain,BHR,0,0,224,258,410
Austria,AUT,Female,FEM,Bahrain,BHR,3,2,7,4,3
Austria,AUT,Male,MAL,Bahrain,BHR,7,2,8,5,6
Austria,AUT,Total,TOT,Bahrain,BHR,10,4,15,9,9
