Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Female,FEM,Jordan,JOR,14,27,88,38,29
Afghanistan,AFG,Male,MAL,Jordan,JOR,8,22,82,26,32
Afghanistan,AFG,Total,TOT,Jordan,JOR,21,49,170,64,62
Albania,ALB,Female,FEM,Jordan,JOR,0,4,15,243,9
Albania,ALB,Male,MAL,Jordan,JOR,0,6,22,129,2
Albania,ALB,Total,TOT,Jordan,JOR,2,10,37,372,11
Algeria,DZA,Female,FEM,Jordan,JOR,27,23,47,114,228
Algeria,DZA,Male,MAL,Jordan,JOR,48,20,28,27,111
Algeria,DZA,Total,TOT,Jordan,JOR,76,43,76,141,339
American Samoa,ASM,Female,FEM,Jordan,JOR,0,0,0,0,0
American Samoa,ASM,Male,MAL,Jordan,JOR,0,0,0,0,0
American Samoa,ASM,Total,TOT,Jordan,JOR,0,0,0,0,0
Andorra,AND,Female,FEM,Jordan,JOR,0,0,0,0,3
Andorra,AND,Male,MAL,Jordan,JOR,0,0,0,0,0
Andorra,AND,Total,TOT,Jordan,JOR,0,0,0,0,4
Angola,AGO,Female,FEM,Jordan,JOR,0,0,0,0,0
Angola,AGO,Male,MAL,Jordan,JOR,0,0,0,0,0
Angola,AGO,Total,TOT,Jordan,JOR,0,0,0,0,0
Anguilla,AIA,Female,FEM,Jordan,JOR,0,0,0,0,0
Anguilla,AIA,Male,MAL,Jordan,JOR,0,0,0,0,0
Anguilla,AIA,Total,TOT,Jordan,JOR,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Jordan,JOR,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Jordan,JOR,0,0,0,0,0
Antigua and Barbuda,ATG,Total,TOT,Jordan,JOR,0,0,0,0,0
Argentina,ARG,Female,FEM,Jordan,JOR,3,2,3,0,6
Argentina,ARG,Male,MAL,Jordan,JOR,2,1,4,0,6
Argentina,ARG,Total,TOT,Jordan,JOR,5,3,6,1,13
Armenia,ARM,Female,FEM,Jordan,JOR,0,0,0,11,20
Armenia,ARM,Male,MAL,Jordan,JOR,0,0,0,5,6
Armenia,ARM,Total,TOT,Jordan,JOR,0,0,0,17,26
Aruba,ABW,Female,FEM,Jordan,JOR,0,0,0,0,0
Aruba,ABW,Male,MAL,Jordan,JOR,0,0,0,0,0
Aruba,ABW,Total,TOT,Jordan,JOR,0,0,0,0,0
Australia,AUS,Female,FEM,Jordan,JOR,7,7,17,81,145
Australia,AUS,Male,MAL,Jordan,JOR,6,7,25,40,101
Australia,AUS,Total,TOT,Jordan,JOR,12,14,42,121,246
Austria,AUT,Female,FEM,Jordan,JOR,12,21,65,34,59
Austria,AUT,Male,MAL,Jordan,JOR,5,24,91,16,55
Austria,AUT,Total,TOT,Jordan,JOR,18,44,155,50,115
Azerbaijan,AZE,Female,FEM,Jordan,JOR,0,0,0,3,11
