Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Female,FEM,Kuwait,KWT,107,136,38,44870,36044
Afghanistan,AFG,Male,MAL,Kuwait,KWT,654,1187,1126,48691,52306
Afghanistan,AFG,Total,TOT,Kuwait,KWT,760,1323,1164,93561,88350
Albania,ALB,Female,FEM,Kuwait,KWT,0,4,0,8,7
Albania,ALB,Male,MAL,Kuwait,KWT,2,8,0,7,8
Albania,ALB,Total,TOT,Kuwait,KWT,2,12,1,15,14
Algeria,DZA,Female,FEM,Kuwait,KWT,0,27,45,169,146
Algeria,DZA,Male,MAL,Kuwait,KWT,0,108,82,67,77
Algeria,DZA,Total,TOT,Kuwait,KWT,0,135,127,236,223
American Samoa,ASM,Female,FEM,Kuwait,KWT,0,0,0,0,0
American Samoa,ASM,Male,MAL,Kuwait,KWT,0,0,0,0,0
American Samoa,ASM,Total,TOT,Kuwait,KWT,0,0,0,0,0
Andorra,AND,Female,FEM,Kuwait,KWT,0,0,0,0,0
Andorra,AND,Male,MAL,Kuwait,KWT,0,0,0,0,0
Andorra,AND,Total,TOT,Kuwait,KWT,0,0,0,0,0
Angola,AGO,Female,FEM,Kuwait,KWT,0,0,0,0,0
Angola,AGO,Male,MAL,Kuwait,KWT,0,0,0,0,0
Angola,AGO,Total,TOT,Kuwait,KWT,0,0,0,0,0
Anguilla,AIA,Female,FEM,Kuwait,KWT,0,0,0,0,0
Anguilla,AIA,Male,MAL,Kuwait,KWT,0,0,0,0,0
Anguilla,AIA,Total,TOT,Kuwait,KWT,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Kuwait,KWT,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Kuwait,KWT,0,0,0,0,0
Antigua and Barbuda,ATG,Total,TOT,Kuwait,KWT,0,0,0,0,0
Argentina,ARG,Female,FEM,Kuwait,KWT,0,2,7,20,16
Argentina,ARG,Male,MAL,Kuwait,KWT,0,3,4,19,21
Argentina,ARG,Total,TOT,Kuwait,KWT,0,5,11,39,37
Armenia,ARM,Female,FEM,Kuwait,KWT,0,0,0,39,31
Armenia,ARM,Male,MAL,Kuwait,KWT,0,3,1,50,53
Armenia,ARM,Total,TOT,Kuwait,KWT,0,4,1,89,84
Aruba,ABW,Female,FEM,Kuwait,KWT,0,0,0,0,0
Aruba,ABW,Male,MAL,Kuwait,KWT,0,0,0,0,0
Aruba,ABW,Total,TOT,Kuwait,KWT,0,0,0,0,0
Australia,AUS,Female,FEM,Kuwait,KWT,10,21,30,257,209
Australia,AUS,Male,MAL,Kuwait,KWT,13,25,45,244,265
Australia,AUS,Total,TOT,Kuwait,KWT,23,46,75,501,473
Austria,AUT,Female,FEM,Kuwait,KWT,2,16,36,63,51
Austria,AUT,Male,MAL,Kuwait,KWT,7,33,26,49,54
Austria,AUT,Total,TOT,Kuwait,KWT,9,49,63,112,106
Azerbaijan,AZE,Female,FEM,Kuwait,KWT,1,9,3,361,279
Azerbaijan,AZE,Male,MAL,Kuwait,KWT,7,34,12,698,722
Azerbaijan,AZE,Total,TOT,Kuwait,KWT,9,44,15,1060,1001
"Bahamas, The",BHS,Female,FEM,Kuwait,KWT,0,0,0,0,0
"Bahamas, The",BHS,Male,MAL,Kuwait,KWT,0,0,0,0,0
"Bahamas, The",BHS,Total,TOT,Kuwait,KWT,0,0,0,0,0
Bahrain,BHR,Female,FEM,Kuwait,KWT,0,543,1358,1788,1473
Bahrain,BHR,Male,MAL,Kuwait,KWT,1,605,1142,1362,1501
Bahrain,BHR,Total,TOT,Kuwait,KWT,2,1148,2500,3150,2975
Bangladesh,BGD,Female,FEM,Kuwait,KWT,38,48,166,2085,1496
Bangladesh,BGD,Male,MAL,Kuwait,KWT,232,419,446,31072,29814
Bangladesh,BGD,Total,TOT,Kuwait,KWT,269,467,613,33157,31310
Barbados,BRB,Female,FEM,Kuwait,KWT,0,0,0,0,0
Barbados,BRB,Male,MAL,Kuwait,KWT,0,0,0,0,0
Barbados,BRB,Total,TOT,Kuwait,KWT,0,0,0,0,0
Belarus,BLR,Female,FEM,Kuwait,KWT,0,0,0,0,0
Belarus,BLR,Male,MAL,Kuwait,KWT,0,0,0,0,0
Belarus,BLR,Total,TOT,Kuwait,KWT,0,0,0,0,0
Belgium,BEL,Female,FEM,Kuwait,KWT,1,8,15,44,36
Belgium,BEL,Male,MAL,Kuwait,KWT,4,17,48,39,43
Belgium,BEL,Total,TOT,Kuwait,KWT,5,25,63,83,79
Belize,BLZ,Female,FEM,Kuwait,KWT,0,0,0,0,0
Belize,BLZ,Male,MAL,Kuwait,KWT,0,0,0,0,0
Belize,BLZ,Total,TOT,Kuwait,KWT,0,0,0,0,0
Benin,BEN,Female,FEM,Kuwait,KWT,0,0,0,0,0
Benin,BEN,Male,MAL,Kuwait,KWT,0,0,0,0,0
Benin,BEN,Total,TOT,Kuwait,KWT,0,0,0,0,0
Bermuda,BMU,Female,FEM,Kuwait,KWT,0,0,0,0,0
Bermuda,BMU,Male,MAL,Kuwait,KWT,0,0,0,0,0
Bermuda,BMU,Total,TOT,Kuwait,KWT,0,0,0,0,0
Bhutan,BTN,Female,FEM,Kuwait,KWT,0,0,0,0,0
Bhutan,BTN,Male,MAL,Kuwait,KWT,0,0,0,0,0
Bhutan,BTN,Total,TOT,Kuwait,KWT,0,0,0,0,0
Bolivia,BOL,Female,FEM,Kuwait,KWT,0,0,0,0,0
Bolivia,BOL,Male,MAL,Kuwait,KWT,0,0,1,1,1
Bolivia,BOL,Total,TOT,Kuwait,KWT,0,0,2,2,2
Bosnia and Herzegovina,BIH,Female,FEM,Kuwait,KWT,0,2,4,10,8
Bosnia and Herzegovina,BIH,Male,MAL,Kuwait,KWT,1,5,7,8,9
Bosnia and Herzegovina,BIH,Total,TOT,Kuwait,KWT,1,8,11,18,17
Botswana,BWA,Female,FEM,Kuwait,KWT,0,0,0,0,0
Botswana,BWA,Male,MAL,Kuwait,KWT,0,0,0,0,0
Botswana,BWA,Total,TOT,Kuwait,KWT,0,0,0,0,0
Brazil,BRA,Female,FEM,Kuwait,KWT,0,15,28,28,23
Brazil,BRA,Male,MAL,Kuwait,KWT,0,15,47,19,21
Brazil,BRA,Total,TOT,Kuwait,KWT,0,30,75,47,44
Brunei Darussalam,BRN,Female,FEM,Kuwait,KWT,0,0,0,1,1
Brunei Darussalam,BRN,Male,MAL,Kuwait,KWT,0,0,0,1,1
Brunei Darussalam,BRN,Total,TOT,Kuwait,KWT,0,0,0,3,3
Bulgaria,BGR,Female,FEM,Kuwait,KWT,63,469,79,1058,869
Bulgaria,BGR,Male,MAL,Kuwait,KWT,214,985,77,842,925
Bulgaria,BGR,Total,TOT,Kuwait,KWT,277,1454,155,1900,1794
Burkina Faso,BFA,Female,FEM,Kuwait,KWT,0,0,0,0,0
Burkina Faso,BFA,Male,MAL,Kuwait,KWT,0,0,0,0,0
Burkina Faso,BFA,Total,TOT,Kuwait,KWT,0,0,0,0,0
Burundi,BDI,Female,FEM,Kuwait,KWT,0,0,0,0,0
Burundi,BDI,Male,MAL,Kuwait,KWT,0,0,0,0,0
Burundi,BDI,Total,TOT,Kuwait,KWT,0,0,0,0,0
Cambodia,KHM,Female,FEM,Kuwait,KWT,0,0,0,0,0
Cambodia,KHM,Male,MAL,Kuwait,KWT,0,0,0,0,0
Cambodia,KHM,Total,TOT,Kuwait,KWT,0,0,0,0,0
Cameroon,CMR,Female,FEM,Kuwait,KWT,0,0,0,0,0
Cameroon,CMR,Male,MAL,Kuwait,KWT,0,0,0,0,0
