Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Female,FEM,Lebanon,LBN,11,22,30,24831,11670
Afghanistan,AFG,Male,MAL,Lebanon,LBN,18,27,72,20867,12048
Afghanistan,AFG,Total,TOT,Lebanon,LBN,28,49,102,45698,23718
Albania,ALB,Female,FEM,Lebanon,LBN,29,0,0,23,56
Albania,ALB,Male,MAL,Lebanon,LBN,31,0,0,15,48
Albania,ALB,Total,TOT,Lebanon,LBN,60,0,0,38,104
Algeria,DZA,Female,FEM,Lebanon,LBN,4,180,108,110,588
Algeria,DZA,Male,MAL,Lebanon,LBN,5,172,85,63,627
Algeria,DZA,Total,TOT,Lebanon,LBN,10,352,193,173,1215
American Samoa,ASM,Female,FEM,Lebanon,LBN,0,0,0,0,0
American Samoa,ASM,Male,MAL,Lebanon,LBN,0,0,0,0,0
American Samoa,ASM,Total,TOT,Lebanon,LBN,0,0,0,0,0
Andorra,AND,Female,FEM,Lebanon,LBN,0,0,0,0,0
Andorra,AND,Male,MAL,Lebanon,LBN,0,0,0,0,0
Andorra,AND,Total,TOT,Lebanon,LBN,0,0,0,0,0
Angola,AGO,Female,FEM,Lebanon,LBN,0,0,0,0,0
Angola,AGO,Male,MAL,Lebanon,LBN,0,0,0,0,0
Angola,AGO,Total,TOT,Lebanon,LBN,0,0,0,0,0
Anguilla,AIA,Female,FEM,Lebanon,LBN,0,0,0,0,0
Anguilla,AIA,Male,MAL,Lebanon,LBN,0,0,0,0,0
Anguilla,AIA,Total,TOT,Lebanon,LBN,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Lebanon,LBN,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Lebanon,LBN,0,0,0,0,0
Antigua and Barbuda,ATG,Total,TOT,Lebanon,LBN,0,0,0,0,0
Argentina,ARG,Female,FEM,Lebanon,LBN,0,4,3,19,499
Argentina,ARG,Male,MAL,Lebanon,LBN,1,4,2,13,398
Argentina,ARG,Total,TOT,Lebanon,LBN,2,8,5,32,897
Armenia,ARM,Female,FEM,Lebanon,LBN,3,5,5,18,197
Armenia,ARM,Male,MAL,Lebanon,LBN,3,5,4,19,103
Armenia,ARM,Total,TOT,Lebanon,LBN,6,9,9,37,300
Aruba,ABW,Female,FEM,Lebanon,LBN,0,0,0,0,0
Aruba,ABW,Male,MAL,Lebanon,LBN,0,0,0,0,0
Aruba,ABW,Total,TOT,Lebanon,LBN,0,0,0,0,0
Australia,AUS,Female,FEM,Lebanon,LBN,0,1,2,126,168
Australia,AUS,Male,MAL,Lebanon,LBN,0,1,2,82,116
Australia,AUS,Total,TOT,Lebanon,LBN,1,2,3,209,285
Austria,AUT,Female,FEM,Lebanon,LBN,17,1,93,239,280
Austria,AUT,Male,MAL,Lebanon,LBN,5,2,70,150,233
Austria,AUT,Total,TOT,Lebanon,LBN,22,3,163,389,513
Azerbaijan,AZE,Female,FEM,Lebanon,LBN,55,97,105,338,3145
Azerbaijan,AZE,Male,MAL,Lebanon,LBN,69,99,78,366,2812
Azerbaijan,AZE,Total,TOT,Lebanon,LBN,124,196,183,703,5957
"Bahamas, The",BHS,Female,FEM,Lebanon,LBN,0,0,0,0,0
"Bahamas, The",BHS,Male,MAL,Lebanon,LBN,0,0,0,0,0
"Bahamas, The",BHS,Total,TOT,Lebanon,LBN,0,0,0,0,0
Bahrain,BHR,Female,FEM,Lebanon,LBN,0,3,3,78,20
Bahrain,BHR,Male,MAL,Lebanon,LBN,0,3,2,47,20
Bahrain,BHR,Total,TOT,Lebanon,LBN,0,6,5,125,40
Bangladesh,BGD,Female,FEM,Lebanon,LBN,2,8,29,442,4246
Bangladesh,BGD,Male,MAL,Lebanon,LBN,4,9,68,5981,8559
Bangladesh,BGD,Total,TOT,Lebanon,LBN,6,17,97,6423,12805
Barbados,BRB,Female,FEM,Lebanon,LBN,0,0,0,0,0
Barbados,BRB,Male,MAL,Lebanon,LBN,0,0,0,0,0
Barbados,BRB,Total,TOT,Lebanon,LBN,0,0,0,0,0
Belarus,BLR,Female,FEM,Lebanon,LBN,0,1,2,2,53
Belarus,BLR,Male,MAL,Lebanon,LBN,0,1,1,1,17
Belarus,BLR,Total,TOT,Lebanon,LBN,0,3,3,3,70
Belgium,BEL,Female,FEM,Lebanon,LBN,4,0,0,161,150
Belgium,BEL,Male,MAL,Lebanon,LBN,2,0,0,99,114
Belgium,BEL,Total,TOT,Lebanon,LBN,6,0,0,260,264
Belize,BLZ,Female,FEM,Lebanon,LBN,0,0,0,0,0
Belize,BLZ,Male,MAL,Lebanon,LBN,0,0,0,0,0
Belize,BLZ,Total,TOT,Lebanon,LBN,0,0,0,0,0
Benin,BEN,Female,FEM,Lebanon,LBN,0,0,0,0,0
