Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Female,FEM,Bahrain,BHR,22,32,2694,6227,10054
Afghanistan,AFG,Female,FEM,Kuwait,KWT,107,136,38,44870,36044
Afghanistan,AFG,Female,FEM,Oman,OMN,25,36,83,240,351
Afghanistan,AFG,Female,FEM,Qatar,QAT,5,60,194,21914,8233
Afghanistan,AFG,Female,FEM,Saudi Arabia,SAU,61,319,1504,3618,4434
Afghanistan,AFG,Female,FEM,United Arab Emirates,ARE,2,88,1379,3622,5139
Afghanistan,AFG,Female,FEM,Jordan,JOR,14,27,88,38,29
Afghanistan,AFG,Female,FEM,Lebanon,LBN,11,22,30,24831,11670
Afghanistan,AFG,Male,MAL,Bahrain,BHR,39,30,10690,16292,24366
Afghanistan,AFG,Male,MAL,Kuwait,KWT,654,1187,1126,48691,52306
Afghanistan,AFG,Male,MAL,Oman,OMN,55,80,186,540,797
Afghanistan,AFG,Male,MAL,Qatar,QAT,22,202,1315,54388,27209
Afghanistan,AFG,Male,MAL,Saudi Arabia,SAU,96,568,3018,8164,8312
Afghanistan,AFG,Male,MAL,United Arab Emirates,ARE,23,671,6912,11761,21290
Afghanistan,AFG,Male,MAL,Jordan,JOR,8,22,82,26,32
Afghanistan,AFG,Male,MAL,Lebanon,LBN,18,27,72,20867,12048
Afghanistan,AFG,Total,TOT,Bahrain,BHR,62,61,13384,22519,34419
Afghanistan,AFG,Total,TOT,Kuwait,KWT,760,1323,1164,93561,88350
Afghanistan,AFG,Total,TOT,Oman,OMN,80,116,269,780,1148
Afghanistan,AFG,Total,TOT,Qatar,QAT,27,261,1508,76302,35442
Afghanistan,AFG,Total,TOT,Saudi Arabia,SAU,157,887,4522,11782,12746
Afghanistan,AFG,Total,TOT,United Arab Emirates,ARE,25,759,8290,15383,26430
Afghanistan,AFG,Total,TOT,Jordan,JOR,21,49,170,64,62
Afghanistan,AFG,Total,TOT,Lebanon,LBN,28,49,102,45698,23718
Albania,ALB,Female,FEM,Bahrain,BHR,0,0,2,1,0
Albania,ALB,Female,FEM,Kuwait,KWT,0,4,0,8,7
Albania,ALB,Female,FEM,Oman,OMN,0,0,0,2,3
Albania,ALB,Female,FEM,Qatar,QAT,14,0,1,22,42
Albania,ALB,Female,FEM,Saudi Arabia,SAU,0,2,8,18,22
Albania,ALB,Female,FEM,United Arab Emirates,ARE,0,0,6,16,23
Albania,ALB,Female,FEM,Jordan,JOR,0,4,15,243,9
Albania,ALB,Female,FEM,Lebanon,LBN,29,0,0,23,56
Albania,ALB,Male,MAL,Bahrain,BHR,2,0,2,1,2
Albania,ALB,Male,MAL,Kuwait,KWT,2,8,0,7,8
Albania,ALB,Male,MAL,Oman,OMN,0,0,0,2,4
Albania,ALB,Male,MAL,Qatar,QAT,43,2,5,42,114
Albania,ALB,Male,MAL,Saudi Arabia,SAU,0,2,13,34,34
Albania,ALB,Male,MAL,United Arab Emirates,ARE,0,2,21,35,65
Albania,ALB,Male,MAL,Jordan,JOR,0,6,22,129,2
Albania,ALB,Male,MAL,Lebanon,LBN,31,0,0,15,48
Albania,ALB,Total,TOT,Bahrain,BHR,2,1,4,2,2
Albania,ALB,Total,TOT,Kuwait,KWT,2,12,1,15,14
Albania,ALB,Total,TOT,Oman,OMN,0,0,2,5,7
Albania,ALB,Total,TOT,Qatar,QAT,57,2,6,64,156
