Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Female,FEM,Oman,OMN,25,36,83,240,351
Afghanistan,AFG,Male,MAL,Oman,OMN,55,80,186,540,797
Afghanistan,AFG,Total,TOT,Oman,OMN,80,116,269,780,1148
Albania,ALB,Female,FEM,Oman,OMN,0,0,0,2,3
Albania,ALB,Male,MAL,Oman,OMN,0,0,0,2,4
Albania,ALB,Total,TOT,Oman,OMN,0,0,2,5,7
Algeria,DZA,Female,FEM,Oman,OMN,0,1,3,7,11
Algeria,DZA,Male,MAL,Oman,OMN,0,0,2,6,9
Algeria,DZA,Total,TOT,Oman,OMN,1,2,5,14,20
American Samoa,ASM,Female,FEM,Oman,OMN,0,0,0,0,0
American Samoa,ASM,Male,MAL,Oman,OMN,0,0,0,0,0
American Samoa,ASM,Total,TOT,Oman,OMN,0,0,0,0,0
Andorra,AND,Female,FEM,Oman,OMN,0,0,0,0,0
Andorra,AND,Male,MAL,Oman,OMN,0,0,0,0,0
Andorra,AND,Total,TOT,Oman,OMN,0,0,0,0,0
Angola,AGO,Female,FEM,Oman,OMN,0,0,0,0,0
Angola,AGO,Male,MAL,Oman,OMN,0,0,0,0,0
Angola,AGO,Total,TOT,Oman,OMN,0,0,0,0,0
Anguilla,AIA,Female,FEM,Oman,OMN,0,0,0,0,0
Anguilla,AIA,Male,MAL,Oman,OMN,0,0,0,0,0
Anguilla,AIA,Total,TOT,Oman,OMN,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Oman,OMN,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Oman,OMN,0,0,0,0,0
Antigua and Barbuda,ATG,Total,TOT,Oman,OMN,0,0,0,0,0
Argentina,ARG,Female,FEM,Oman,OMN,0,0,2,5,8
Argentina,ARG,Male,MAL,Oman,OMN,0,1,3,9,13
Argentina,ARG,Total,TOT,Oman,OMN,1,2,5,14,21
Armenia,ARM,Female,FEM,Oman,OMN,0,0,0,0,0
Armenia,ARM,Male,MAL,Oman,OMN,0,0,0,0,0
Armenia,ARM,Total,TOT,Oman,OMN,0,0,0,0,1
Aruba,ABW,Female,FEM,Oman,OMN,0,0,0,0,0
Aruba,ABW,Male,MAL,Oman,OMN,0,0,0,0,0
Aruba,ABW,Total,TOT,Oman,OMN,0,0,0,0,0
Australia,AUS,Female,FEM,Oman,OMN,4,5,12,34,49
Australia,AUS,Male,MAL,Oman,OMN,6,8,19,57,83
Australia,AUS,Total,TOT,Oman,OMN,9,13,31,90,133
Austria,AUT,Female,FEM,Oman,OMN,0,1,3,9,13
Austria,AUT,Male,MAL,Oman,OMN,1,2,4,10,15
Austria,AUT,Total,TOT,Oman,OMN,2,3,7,19,28
Azerbaijan,AZE,Female,FEM,Oman,OMN,0,0,0,3,4
Azerbaijan,AZE,Male,MAL,Oman,OMN,0,0,2,6,9
Azerbaijan,AZE,Total,TOT,Oman,OMN,0,1,3,9,13
"Bahamas, The",BHS,Female,FEM,Oman,OMN,0,0,0,0,0
"Bahamas, The",BHS,Male,MAL,Oman,OMN,0,0,0,0,0
"Bahamas, The",BHS,Total,TOT,Oman,OMN,0,0,0,0,0
Bahrain,BHR,Female,FEM,Oman,OMN,4,6,13,38,56
Bahrain,BHR,Male,MAL,Oman,OMN,3,5,11,32,47
Bahrain,BHR,Total,TOT,Oman,OMN,7,10,24,70,104
Bangladesh,BGD,Female,FEM,Oman,OMN,112,161,371,1072,1566
Bangladesh,BGD,Male,MAL,Oman,OMN,7054,10148,23600,68453,100794
Bangladesh,BGD,Total,TOT,Oman,OMN,7166,10309,23972,69525,102360
Barbados,BRB,Female,FEM,Oman,OMN,0,0,0,0,0
Barbados,BRB,Male,MAL,Oman,OMN,0,0,0,0,0
Barbados,BRB,Total,TOT,Oman,OMN,0,0,0,0,0
Belarus,BLR,Female,FEM,Oman,OMN,0,0,0,0,0
Belarus,BLR,Male,MAL,Oman,OMN,0,0,0,0,0
Belarus,BLR,Total,TOT,Oman,OMN,0,0,0,0,0
Belgium,BEL,Female,FEM,Oman,OMN,0,0,2,4,7
Belgium,BEL,Male,MAL,Oman,OMN,0,0,2,5,8
Belgium,BEL,Total,TOT,Oman,OMN,1,1,3,10,14
Belize,BLZ,Female,FEM,Oman,OMN,0,0,0,0,0
Belize,BLZ,Male,MAL,Oman,OMN,0,0,0,0,0
Belize,BLZ,Total,TOT,Oman,OMN,0,0,0,0,0
Benin,BEN,Female,FEM,Oman,OMN,0,0,0,0,0
Benin,BEN,Male,MAL,Oman,OMN,0,0,0,0,0
Benin,BEN,Total,TOT,Oman,OMN,0,0,0,0,0
Bermuda,BMU,Female,FEM,Oman,OMN,0,0,0,0,0
Bermuda,BMU,Male,MAL,Oman,OMN,0,0,0,0,0
Bermuda,BMU,Total,TOT,Oman,OMN,0,0,0,0,0
Bhutan,BTN,Female,FEM,Oman,OMN,0,0,0,0,0
Bhutan,BTN,Male,MAL,Oman,OMN,0,0,0,0,0
Bhutan,BTN,Total,TOT,Oman,OMN,0,0,0,0,0
Bolivia,BOL,Female,FEM,Oman,OMN,0,0,0,0,0
Bolivia,BOL,Male,MAL,Oman,OMN,0,0,0,0,0
Bolivia,BOL,Total,TOT,Oman,OMN,0,0,0,0,1
Bosnia and Herzegovina,BIH,Female,FEM,Oman,OMN,0,0,0,1,2
Bosnia and Herzegovina,BIH,Male,MAL,Oman,OMN,0,0,0,2,2
Bosnia and Herzegovina,BIH,Total,TOT,Oman,OMN,0,0,1,3,4
Botswana,BWA,Female,FEM,Oman,OMN,0,0,0,0,0
Botswana,BWA,Male,MAL,Oman,OMN,0,0,0,0,0
Botswana,BWA,Total,TOT,Oman,OMN,0,0,0,0,0
