Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Female,FEM,Qatar,QAT,5,60,194,21914,8233
Afghanistan,AFG,Male,MAL,Qatar,QAT,22,202,1315,54388,27209
Afghanistan,AFG,Total,TOT,Qatar,QAT,27,261,1508,76302,35442
Albania,ALB,Female,FEM,Qatar,QAT,14,0,1,22,42
Albania,ALB,Male,MAL,Qatar,QAT,43,2,5,42,114
Albania,ALB,Total,TOT,Qatar,QAT,57,2,6,64,156
Algeria,DZA,Female,FEM,Qatar,QAT,2,518,898,107,411
Algeria,DZA,Male,MAL,Qatar,QAT,7,1364,1956,182,1404
Algeria,DZA,Total,TOT,Qatar,QAT,9,1882,2854,289,1815
American Samoa,ASM,Female,FEM,Qatar,QAT,0,0,0,0,0
American Samoa,ASM,Male,MAL,Qatar,QAT,0,0,0,0,0
American Samoa,ASM,Total,TOT,Qatar,QAT,0,0,0,0,0
Andorra,AND,Female,FEM,Qatar,QAT,0,0,0,0,0
Andorra,AND,Male,MAL,Qatar,QAT,0,0,0,0,0
Andorra,AND,Total,TOT,Qatar,QAT,0,0,0,0,0
Angola,AGO,Female,FEM,Qatar,QAT,0,0,0,0,0
Angola,AGO,Male,MAL,Qatar,QAT,0,0,0,0,0
Angola,AGO,Total,TOT,Qatar,QAT,0,0,0,0,0
Anguilla,AIA,Female,FEM,Qatar,QAT,0,0,0,0,0
Anguilla,AIA,Male,MAL,Qatar,QAT,0,0,0,0,0
Anguilla,AIA,Total,TOT,Qatar,QAT,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Qatar,QAT,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Qatar,QAT,0,0,0,0,0
Antigua and Barbuda,ATG,Total,TOT,Qatar,QAT,0,0,0,0,0
Argentina,ARG,Female,FEM,Qatar,QAT,0,12,21,18,377
Argentina,ARG,Male,MAL,Qatar,QAT,1,33,46,36,963
Argentina,ARG,Total,TOT,Qatar,QAT,2,45,67,54,1340
Armenia,ARM,Female,FEM,Qatar,QAT,1,13,42,15,167
Armenia,ARM,Male,MAL,Qatar,QAT,4,37,87,46,281
Armenia,ARM,Total,TOT,Qatar,QAT,6,50,129,61,448
Aruba,ABW,Female,FEM,Qatar,QAT,0,0,0,0,0
Aruba,ABW,Male,MAL,Qatar,QAT,0,0,0,0,0
Aruba,ABW,Total,TOT,Qatar,QAT,0,0,0,0,0
Australia,AUS,Female,FEM,Qatar,QAT,0,3,14,119,133
Australia,AUS,Male,MAL,Qatar,QAT,0,8,37,229,293
Australia,AUS,Total,TOT,Qatar,QAT,1,11,50,348,425
Austria,AUT,Female,FEM,Qatar,QAT,12,4,777,227,209
Austria,AUT,Male,MAL,Qatar,QAT,9,12,1633,422,558
Austria,AUT,Total,TOT,Qatar,QAT,21,16,2410,649,767
Azerbaijan,AZE,Female,FEM,Qatar,QAT,26,272,884,280,2305
Azerbaijan,AZE,Male,MAL,Qatar,QAT,93,775,1825,894,6596
Azerbaijan,AZE,Total,TOT,Qatar,QAT,119,1047,2710,1174,8901
"Bahamas, The",BHS,Female,FEM,Qatar,QAT,0,0,0,0,0
"Bahamas, The",BHS,Male,MAL,Qatar,QAT,0,0,0,0,0
"Bahamas, The",BHS,Total,TOT,Qatar,QAT,0,0,0,0,0
Bahrain,BHR,Female,FEM,Qatar,QAT,0,8,29,75,14
Bahrain,BHR,Male,MAL,Qatar,QAT,0,24,51,133,46
Bahrain,BHR,Total,TOT,Qatar,QAT,0,32,80,208,60
Bangladesh,BGD,Female,FEM,Qatar,QAT,0,21,190,262,2568
Bangladesh,BGD,Male,MAL,Qatar,QAT,5,71,1238,10463,16567
Bangladesh,BGD,Total,TOT,Qatar,QAT,6,92,1428,10724,19135
Barbados,BRB,Female,FEM,Qatar,QAT,0,0,0,0,0
Barbados,BRB,Male,MAL,Qatar,QAT,0,0,0,0,0
Barbados,BRB,Total,TOT,Qatar,QAT,0,0,0,0,0
Belarus,BLR,Female,FEM,Qatar,QAT,0,4,13,2,52
Belarus,BLR,Male,MAL,Qatar,QAT,0,12,26,4,52
Belarus,BLR,Total,TOT,Qatar,QAT,0,15,39,5,105
Belgium,BEL,Female,FEM,Qatar,QAT,2,0,3,154,115
Belgium,BEL,Male,MAL,Qatar,QAT,3,3,11,279,280
Belgium,BEL,Total,TOT,Qatar,QAT,5,4,14,434,395
Belize,BLZ,Female,FEM,Qatar,QAT,0,0,0,0,0
Belize,BLZ,Male,MAL,Qatar,QAT,0,0,0,0,0
Belize,BLZ,Total,TOT,Qatar,QAT,0,0,0,0,0
Benin,BEN,Female,FEM,Qatar,QAT,0,0,0,0,0
Benin,BEN,Male,MAL,Qatar,QAT,0,0,0,0,0
Benin,BEN,Total,TOT,Qatar,QAT,0,0,0,0,0
Bermuda,BMU,Female,FEM,Qatar,QAT,0,0,0,0,0
Bermuda,BMU,Male,MAL,Qatar,QAT,0,0,0,0,0
Bermuda,BMU,Total,TOT,Qatar,QAT,0,0,0,0,0
Bhutan,BTN,Female,FEM,Qatar,QAT,0,0,0,0,0
Bhutan,BTN,Male,MAL,Qatar,QAT,0,0,0,0,0
Bhutan,BTN,Total,TOT,Qatar,QAT,0,0,0,0,0
Bolivia,BOL,Female,FEM,Qatar,QAT,0,0,0,0,8
Bolivia,BOL,Male,MAL,Qatar,QAT,0,0,0,1,6
Bolivia,BOL,Total,TOT,Qatar,QAT,0,0,0,2,14
Bosnia and Herzegovina,BIH,Female,FEM,Qatar,QAT,12,0,1,104,33
Bosnia and Herzegovina,BIH,Male,MAL,Qatar,QAT,32,1,4,192,87
Bosnia and Herzegovina,BIH,Total,TOT,Qatar,QAT,45,2,5,296,120
Botswana,BWA,Female,FEM,Qatar,QAT,0,0,0,0,0
Botswana,BWA,Male,MAL,Qatar,QAT,0,0,0,0,0
Botswana,BWA,Total,TOT,Qatar,QAT,0,0,0,0,0
Brazil,BRA,Female,FEM,Qatar,QAT,0,5,9,13,201
Brazil,BRA,Male,MAL,Qatar,QAT,0,13,22,22,343
Brazil,BRA,Total,TOT,Qatar,QAT,1,18,31,35,544
Brunei Darussalam,BRN,Female,FEM,Qatar,QAT,0,0,0,61,2
Brunei Darussalam,BRN,Male,MAL,Qatar,QAT,0,0,0,154,2
Brunei Darussalam,BRN,Total,TOT,Qatar,QAT,0,0,0,215,4
Bulgaria,BGR,Female,FEM,Qatar,QAT,873,414,123,14976,6061
Bulgaria,BGR,Male,MAL,Qatar,QAT,2248,1129,501,26974,14832
Bulgaria,BGR,Total,TOT,Qatar,QAT,3121,1544,624,41950,20893
Burkina Faso,BFA,Female,FEM,Qatar,QAT,0,0,2,1,25
Burkina Faso,BFA,Male,MAL,Qatar,QAT,0,3,5,2,54
Burkina Faso,BFA,Total,TOT,Qatar,QAT,0,4,7,3,78
Burundi,BDI,Female,FEM,Qatar,QAT,0,0,0,0,0
Burundi,BDI,Male,MAL,Qatar,QAT,0,0,0,0,0
Burundi,BDI,Total,TOT,Qatar,QAT,0,0,0,0,0
Cambodia,KHM,Female,FEM,Qatar,QAT,0,0,0,0,0
Cambodia,KHM,Male,MAL,Qatar,QAT,0,0,0,0,0
Cambodia,KHM,Total,TOT,Qatar,QAT,0,0,0,0,0
Cameroon,CMR,Female,FEM,Qatar,QAT,0,0,0,0,0
Cameroon,CMR,Male,MAL,Qatar,QAT,0,0,0,0,0
Cameroon,CMR,Total,TOT,Qatar,QAT,0,0,0,0,0
Canada,CAN,Female,FEM,Qatar,QAT,0,1,3,12,41
Canada,CAN,Male,MAL,Qatar,QAT,0,3,10,29,105
Canada,CAN,Total,TOT,Qatar,QAT,0,4,13,41,146
Cape Verde,CPV,Female,FEM,Qatar,QAT,0,0,0,0,2
Cape Verde,CPV,Male,MAL,Qatar,QAT,0,0,1,0,3
Cape Verde,CPV,Total,TOT,Qatar,QAT,0,0,2,0,5
Cayman Islands,CYM,Female,FEM,Qatar,QAT,0,0,0,0,0
Cayman Islands,CYM,Male,MAL,Qatar,QAT,0,0,0,0,0
Cayman Islands,CYM,Total,TOT,Qatar,QAT,0,0,0,0,0
Central African Republic,CAF,Female,FEM,Qatar,QAT,0,0,0,0,0
Central African Republic,CAF,Male,MAL,Qatar,QAT,0,0,0,0,0
