Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Female,FEM,Saudi Arabia,SAU,61,319,1504,3618,4434
Afghanistan,AFG,Male,MAL,Saudi Arabia,SAU,96,568,3018,8164,8312
Afghanistan,AFG,Total,TOT,Saudi Arabia,SAU,157,887,4522,11782,12746
Albania,ALB,Female,FEM,Saudi Arabia,SAU,0,2,8,18,22
Albania,ALB,Male,MAL,Saudi Arabia,SAU,0,2,13,34,34
Albania,ALB,Total,TOT,Saudi Arabia,SAU,0,4,20,52,56
Algeria,DZA,Female,FEM,Saudi Arabia,SAU,0,3,13,31,38
Algeria,DZA,Male,MAL,Saudi Arabia,SAU,1,6,33,88,90
Algeria,DZA,Total,TOT,Saudi Arabia,SAU,2,9,46,119,129
American Samoa,ASM,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
American Samoa,ASM,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
American Samoa,ASM,Total,TOT,Saudi Arabia,SAU,0,0,0,0,0
Andorra,AND,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
Andorra,AND,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
Andorra,AND,Total,TOT,Saudi Arabia,SAU,0,0,0,0,0
Angola,AGO,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
Angola,AGO,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
Angola,AGO,Total,TOT,Saudi Arabia,SAU,0,0,0,0,0
Anguilla,AIA,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
Anguilla,AIA,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
Anguilla,AIA,Total,TOT,Saudi Arabia,SAU,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
Antigua and Barbuda,ATG,Total,TOT,Saudi Arabia,SAU,0,0,0,0,0
Argentina,ARG,Female,FEM,Saudi Arabia,SAU,0,0,1,3,4
Argentina,ARG,Male,MAL,Saudi Arabia,SAU,0,0,2,6,6
Argentina,ARG,Total,TOT,Saudi Arabia,SAU,0,0,4,9,10
Armenia,ARM,Female,FEM,Saudi Arabia,SAU,0,0,3,8,9
Armenia,ARM,Male,MAL,Saudi Arabia,SAU,0,0,4,11,11
Armenia,ARM,Total,TOT,Saudi Arabia,SAU,0,1,7,18,20
Aruba,ABW,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
Aruba,ABW,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
Aruba,ABW,Total,TOT,Saudi Arabia,SAU,0,0,0,0,0
Australia,AUS,Female,FEM,Saudi Arabia,SAU,0,2,10,23,28
Australia,AUS,Male,MAL,Saudi Arabia,SAU,0,2,13,36,36
Australia,AUS,Total,TOT,Saudi Arabia,SAU,0,4,23,59,64
Austria,AUT,Female,FEM,Saudi Arabia,SAU,1,7,32,77,94
Austria,AUT,Male,MAL,Saudi Arabia,SAU,2,10,52,141,143
Austria,AUT,Total,TOT,Saudi Arabia,SAU,3,16,84,219,237
Azerbaijan,AZE,Female,FEM,Saudi Arabia,SAU,1,6,30,73,89
Azerbaijan,AZE,Male,MAL,Saudi Arabia,SAU,2,10,54,145,147
Azerbaijan,AZE,Total,TOT,Saudi Arabia,SAU,3,16,84,218,236
"Bahamas, The",BHS,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
"Bahamas, The",BHS,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
"Bahamas, The",BHS,Total,TOT,Saudi Arabia,SAU,0,0,0,0,0
Bahrain,BHR,Female,FEM,Saudi Arabia,SAU,1,6,26,62,77
Bahrain,BHR,Male,MAL,Saudi Arabia,SAU,2,13,66,178,183
Bahrain,BHR,Total,TOT,Saudi Arabia,SAU,3,18,92,240,260
Bangladesh,BGD,Female,FEM,Saudi Arabia,SAU,1111,5693,26413,62608,78567
Bangladesh,BGD,Male,MAL,Saudi Arabia,SAU,3410,19772,103447,275724,287440
Bangladesh,BGD,Total,TOT,Saudi Arabia,SAU,4522,25466,129860,338332,366007
Barbados,BRB,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
Barbados,BRB,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
Barbados,BRB,Total,TOT,Saudi Arabia,SAU,0,0,0,0,0
Belarus,BLR,Female,FEM,Saudi Arabia,SAU,0,0,0,1,2
Belarus,BLR,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
Belarus,BLR,Total,TOT,Saudi Arabia,SAU,0,0,0,2,2
Belgium,BEL,Female,FEM,Saudi Arabia,SAU,0,4,18,42,51
Belgium,BEL,Male,MAL,Saudi Arabia,SAU,0,5,26,71,71
Belgium,BEL,Total,TOT,Saudi Arabia,SAU,2,9,43,113,122
Belize,BLZ,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
Belize,BLZ,Male,MAL,Saudi Arabia,SAU,0,0,0,0,0
Belize,BLZ,Total,TOT,Saudi Arabia,SAU,0,0,0,0,0
Benin,BEN,Female,FEM,Saudi Arabia,SAU,0,0,0,0,0
