Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Female,FEM,United Arab Emirates,ARE,2,88,1379,3622,5139
Afghanistan,AFG,Male,MAL,United Arab Emirates,ARE,23,671,6912,11761,21290
Afghanistan,AFG,Total,TOT,United Arab Emirates,ARE,25,759,8290,15383,26430
Albania,ALB,Female,FEM,United Arab Emirates,ARE,0,0,6,16,23
Albania,ALB,Male,MAL,United Arab Emirates,ARE,0,2,21,35,65
Albania,ALB,Total,TOT,United Arab Emirates,ARE,0,3,28,51,88
Algeria,DZA,Female,FEM,United Arab Emirates,ARE,0,1,19,47,69
Algeria,DZA,Male,MAL,United Arab Emirates,ARE,0,4,44,69,130
Algeria,DZA,Total,TOT,United Arab Emirates,ARE,0,6,63,116,200
American Samoa,ASM,Female,FEM,United Arab Emirates,ARE,0,0,0,0,0
American Samoa,ASM,Male,MAL,United Arab Emirates,ARE,0,0,0,0,0
American Samoa,ASM,Total,TOT,United Arab Emirates,ARE,0,0,0,0,0
Andorra,AND,Female,FEM,United Arab Emirates,ARE,0,0,0,0,0
Andorra,AND,Male,MAL,United Arab Emirates,ARE,0,0,0,0,0
Andorra,AND,Total,TOT,United Arab Emirates,ARE,0,0,0,0,0
Angola,AGO,Female,FEM,United Arab Emirates,ARE,0,0,0,0,0
Angola,AGO,Male,MAL,United Arab Emirates,ARE,0,0,0,0,0
Angola,AGO,Total,TOT,United Arab Emirates,ARE,0,0,0,0,0
Anguilla,AIA,Female,FEM,United Arab Emirates,ARE,0,0,0,0,0
Anguilla,AIA,Male,MAL,United Arab Emirates,ARE,0,0,0,0,0
Anguilla,AIA,Total,TOT,United Arab Emirates,ARE,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,United Arab Emirates,ARE,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,United Arab Emirates,ARE,0,0,0,0,0
Antigua and Barbuda,ATG,Total,TOT,United Arab Emirates,ARE,0,0,0,0,0
Argentina,ARG,Female,FEM,United Arab Emirates,ARE,0,0,5,14,20
Argentina,ARG,Male,MAL,United Arab Emirates,ARE,0,2,19,31,58
Argentina,ARG,Total,TOT,United Arab Emirates,ARE,0,2,25,45,78
Armenia,ARM,Female,FEM,United Arab Emirates,ARE,0,0,1,4,5
Armenia,ARM,Male,MAL,United Arab Emirates,ARE,0,0,7,11,20
Armenia,ARM,Total,TOT,United Arab Emirates,ARE,0,0,8,15,25
Aruba,ABW,Female,FEM,United Arab Emirates,ARE,0,0,0,0,0
Aruba,ABW,Male,MAL,United Arab Emirates,ARE,0,0,0,0,0
Aruba,ABW,Total,TOT,United Arab Emirates,ARE,0,0,0,0,0
Australia,AUS,Female,FEM,United Arab Emirates,ARE,0,8,116,283,419
Australia,AUS,Male,MAL,United Arab Emirates,ARE,0,25,247,390,737
Australia,AUS,Total,TOT,United Arab Emirates,ARE,1,33,363,673,1156
Austria,AUT,Female,FEM,United Arab Emirates,ARE,0,2,29,74,108
Austria,AUT,Male,MAL,United Arab Emirates,ARE,0,9,86,141,261
Austria,AUT,Total,TOT,United Arab Emirates,ARE,0,11,116,214,369
